S. No.,Month ,Crash Date,Crash Day,Article Date ,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type
366,March,29-Mar-22,Tuesday,30-Mar-22,Seetharamapuram,Nil,Andhra Pradesh,"15.01307210074714, 79.1444151537734",Car,Lorry,2,3,NA,NA,NH,With Parked Vehicle
367,March,30-Mar-22,Wednesday,31-Mar-22,Firozabad,Nil,Uttar Pradesh,"27.15083110001251, 78.40875398690227",Pick Up,Truck,5,1,"19,17,18,30,28",Male,SH,With Parked Vehicle
368,March,30-Mar-22,Wednesday,31-Mar-22,Janpath,Delhi,Delhi,"28.62594267821742, 77.21703786094925",Pedestrian,Car,1,0,40,Male,OR,Hit and Run
369,March,30-Mar-22,Wednesday,31-Mar-22,Khuntavali,Nil,Maharashtra,"19.121374247652373, 73.24219155935228",Pedestrian,Two Wheeler,1,0,61,Male,OR,Hit and Run
370,April,1-Apr-22,Friday,1-Apr-22,Bhikiyasan,Nil,Uttarakhand,"29.692679266873924, 79.26730347942578",Car,Ditch,3,4,"39,37,32",Both,OR,Vehicle Overturn
371,April,1-Apr-22,Friday,1-Apr-22,Midthur,Nil,Andhra Pradesh,"15.771109039806735, 78.29277991268702",Bus,Truck,2,2,NA,NA,SH,Others
372,April,31-Mar-22,Thursday,1-Apr-22,Hastings Crossing,Kolkata,West Bengal,"22.5258797785175, 88.39572396277454",Truck,Unidentified,1,1,27,Male,SH,Others
373,April,31-Mar-22,Thursday,1-Apr-22,Poonch,Nil,Jammu,"33.76023112882418, 74.09532449203185",Van,Gorge,9,4,"55,60,63,62,36,36,62,28,45",Both,OR,Vehicle Overturn
374,April,2-Apr-22,Saturday,2-Apr-22,Takara,Nil,Odisha,"20.386849301378763, 84.75951006419386",Bus,Truck,1,15,NA,Male,NH,Others
375,April,2-Apr-22,Saturday,2-Apr-22,Sembarai,Nil,Tamil Nadu,"12.330894102290552, 78.64516600099078",Truck,Gorge,7,14,NA,Both,OR,Vehicle Overturn
376,April,1-Apr-22,Friday,2-Apr-22,Sarat Bose Junction,Kolkata,West Bengal,"22.53473426703114, 88.35349413112056",Two Wheeler,Two Wheeler,1,1,31,Male,OR,With Parked Vehicle
377,April,1-Apr-22,Friday,2-Apr-22,Seebara,Nil,Karnataka,"14.259495209831883, 76.34745630421739",Car,Truck,2,1,"30,43",Male,NH,Hit From Back
378,April,3-Apr-22,Sunday,3-Apr-22,Padipeta,Nil,Andhra Pradesh,"13.5964583824096, 79.468585292512",Two Wheeler,Car,2,0,"60,36",Male,SH,Head On Collision 
379,April,2-Apr-22,Saturday,3-Apr-22,Marrivalasa,Nil,Andhra Pradesh,"17.8740683869601, 83.0790461056656",Two Wheeler,Tree,3,0,"22,19,20",Male,SH,Fixed Object Collision
380,April,2-Apr-22,Saturday,3-Apr-22,Sri Paidimamba Hotel,Nil,Andhra Pradesh,"17.62550225814061, 83.08718008575381",Two Wheeler,Lorry,1,1,NA,Male,SH,Head On Collision 
381,April,4-Apr-22,Monday,4-Apr-22,Ismail Yusuf College,Mumbai,Maharashtra,"19.135331974454036, 72.85494317192074",Car,Bridge,2,1,"20,20",Male,OR,Fixed Object Collision
382,April,3-Apr-22,Sunday,4-Apr-22,Jaitpur,Nil,Uttar Pradesh,"28.552632789117965, 79.90025737886869",Van,Culvert,2,8,"18,40",Male,NH,Fixed Object Collision
383,April,4-Apr-22,Monday,5-Apr-22,Pandoh Dam,Nil,Himachal Pradesh,"31.66970962001833, 77.06586802710562",Bus,Wall,1,38,NA,Male,NH,Fixed Object Collision
384,April,4-Apr-22,Monday,5-Apr-22,Ranakpur,Nil,Rajasthan,"25.092960195726874, 73.46160638222635",Car,Gorge,1,0,NA,Male,SH,Vehicle Overturn
385,April,3-Apr-22,Sunday,5-Apr-22,Konalai,Nil,Tamil Nadu,"10.981239408019409, 78.77209130515581",Van,Truck,1,7,30,Male,NH,Hit From Back
386,April,3-Apr-22,Sunday,5-Apr-22,DD Motors Mayapuri,Delhi,Delhi,"28.62602923604718, 77.12056827917954",Pedestrian,Car,1,0,15,Female,OR,Hit and Run
387,April,4-Apr-22,Monday,5-Apr-22,Anand,Nil,Gujarat,"22.569819011113804, 72.95995977859526",Bus,Bus,1,15,19,Female,OR,With Parked Vehicle
388,April,5-Apr-22,Tuesday,6-Apr-22,Vondh,Nil,Gujarat,"23.299427266699663, 70.40345904842641",Two Wheeler,Truck,3,0,NA,Male,NH,Hit From Back
389,April,5-Apr-22,Tuesday,6-Apr-22,Devprayag,Nil,Uttarakhand,"30.150608317979895, 78.59925397495051",Truck,Gorge,3,0,"20,22,22",Male,NH,Vehicle Overturn
390,April,6-Apr-22,Wednesday,6-Apr-22,Paschim Vihar,Delhi,Delhi,"28.679125417005295, 77.09443602339877",Pedestrian,Car,1,2,18,Female,OR,Hit and Run
391,April,5-Apr-22,Tuesday,6-Apr-22,Bhatia Junction,Kanpur,Uttar Pradesh,"26.459541143422, 80.24767007985751",Car,Truck,1,2,NA,Male,OR,Head On Collision 
392,April,5-Apr-22,Tuesday,7-Apr-22,Kolwadi,Nil,Maharashtra,"18.536993846113365, 74.03235874368784",Two Wheeler,Truck,2,0,"20,29",Male,OR,Hit From Back
393,April,5-Apr-22,Tuesday,7-Apr-22,Telaprolu,Nil,Andhra Pradesh,"16.580804903849405, 80.89312210420972",Two Wheeler,Nil,1,1,NA,Female,SH,Run Off Road
394,April,5-Apr-22,Tuesday,7-Apr-22,Kosappur Junction,Nil,Tamil Nadu,"13.183598472157183, 80.23440682082393",Two Wheeler,Truck,2,0,"22,23",Male,OR,Hit From Back
395,April,6-Apr-22,Wednesday,7-Apr-22,Mathur,Chennai,Tamil Nadu,"13.171279357726565, 80.2439789680553",Pedestrian,Truck,1,0,74,Male,OR,Hit and Run
396,April,5-Apr-22,Tuesday,7-Apr-22,Chalamatti,Nil,Karnataka,"15.281800721919511, 75.058526902019",Car,Truck,3,2,"47,32,31",Male,NH,Head On Collision 
397,April,6-Apr-22,Wednesday,7-Apr-22,Palode,Nil,Kerala,"8.723635248478216, 77.02141618446213",Pedestrian,Car,1,0,52,Male,OR,Hit and Run
398,April,5-Apr-22,Tuesday,7-Apr-22,Rama,Indore,Madhya Pradesh,"22.720453428245552, 75.86160460073096",Pedestrian,Truck,2,3,"19,25",Male,OR,Hit and Run
399,April,7-Apr-22,Thursday,8-Apr-22,Katuru,Nil,Andhra Pradesh,"16.423952188523433, 80.86229319889544",Car,Tractor,1,4,37,Male,SH,Hit From Back
400,April,6-Apr-22,Wednesday,8-Apr-22,Sector 52-53,Chandigarh,Chandigarh,"30.713025554739676, 76.7310651754111",Two Wheeler,Two Wheeler,1,3,18,Male,OR,Head On Collision 
401,April,7-Apr-22,Thursday,8-Apr-22,Vajra Enclave,Hyderabad,Telangana,"17.50621987331073, 78.50462883692596",Pedestrian,Car,1,0,2,Female,OR,Head On Collision 
402,April,6-Apr-22,Wednesday,8-Apr-22,Maldhari Crossing,Rajkot,Gujarat,"22.239040864246256, 70.80054155721797",Two Wheeler,Truck,1,0,46,Male,OR,Others
403,April,7-Apr-22,Thursday,9-Apr-22,Hatpipliya,Nil,Madhya Pradesh,"22.767739476550357, 76.30006755515738",Two Wheeler,Truck,3,0,"23,18,35",Male,SH,Hit From Back
404,April,9-Apr-22,Saturday,9-Apr-22,Gahunje Bridge,Nil,Maharashtra,"18.669361372986447, 73.70523150874553",Car,Truck,4,0,"19,20,21,20",Male,NH,Hit From Back
405,April,7-Apr-22,Thursday,9-Apr-22,Wagholi,Pune,Maharashtra,"18.576226529923478, 73.96439239883848",Pedestrian,Bus,1,0,70,Female,NH,Head On Collision 
406,April,6-Apr-22,Wednesday,9-Apr-22,Ratibad,Nil,Madhya Pradesh,"23.169829884385884, 77.32106913299467",Two Wheeler,Nil,1,0,35,Male,OR,Vehicle Overturn
407,April,7-Apr-22,Thursday,9-Apr-22,Vandalur,Chennai,Tamil Nadu,"12.88591495582588, 80.08040687151578",Two Wheeler,Bus,2,0,"32,52",Male,NH,Hit From Back
408,April,8-Apr-22,Friday,9-Apr-22,Chhola Road,Bhopal,Madhya Pradesh,"23.276018511391488, 77.41485091850154",Pedestrian,Ambulance,1,2,55,Male,OR,Others
409,April,7-Apr-22,Thursday,9-Apr-22,Bari Naka,Nil,Madhya Pradesh,"22.70291816153943, 76.12554753043058",Two Wheeler,Truck,3,0,"23,18,35",Male,OR,Others
410,April,8-Apr-22,Friday,9-Apr-22,Armapur,Kanpur,Uttar Pradesh,"26.46168600616486, 80.26142451959889",SUV,Nil,1,6,32,Female,OR,Vehicle Overturn
411,April,9-Apr-22,Saturday,10-Apr-22,Kondagaon,Nil,Chhattisgarh,"19.598982977379222, 81.66725013695202",Car,Tree,1,2,NA,Male,NH,Fixed Object Collision
412,April,9-Apr-22,Saturday,10-Apr-22,Bhesan,Nil,Gujarat,"21.561190838023762, 70.69380270430669",Two Wheeler,Truck,1,1,16,Female,SH,Hit From Back
413,April,9-Apr-22,Saturday,10-Apr-22,Yekkur,Nil,Karnataka,"12.872029863590946, 74.86383181736954",Two Wheeler,Truck,1,0,55,Male,NH,Hit From Back
414,April,9-Apr-22,Saturday,10-Apr-22,Bhognipur,Nil,Uttar Pradesh,"26.201229579749192, 79.81247657221951",Two Wheeler,Tractor,3,4,NA,Both,NH,Head On Collision 
415,April,8-Apr-22,Friday,11-Apr-22,Bhosari,Nil,Maharashtra,"18.637106819015163, 73.84988079329204",Pedestrian,Truck,1,0,64,Female,NH,Hit and Run
416,April,9-Apr-22,Saturday,11-Apr-22,Kurali,Nil,Maharashtra,"18.720052899904065, 73.85047660624807",Two Wheeler,Truck,1,0,48,Male,NH,Others
417,April,10-Apr-22,Sunday,11-Apr-22,Perumbavoor,Nil,Kerala,"10.123612582478428, 76.48036075151026",Two Wheeler,Canal,1,0,52,Male,OR,Vehicle Overturn
418,April,10-Apr-22,Sunday,11-Apr-22,Sai Temple makuri,Ghaziabad,Uttar Pradesh,"28.682779530176727, 77.48174137516231",Two Wheeler,Car,4,2,"28,55,65,62",Both,OR,Head On Collision 
419,April,10-Apr-22,Sunday,11-Apr-22,Budoli,Nil,Karnataka,"12.949288313011635, 75.0718304192007",Car,Car,1,3,65,Male,OR,Others
420,April,10-Apr-22,Sunday,11-Apr-22,Pune-Ahmedabad Highway,Pune,Maharashtra,"18.526761186241092, 73.85204922102443",Car,Bus,1,25,NA,Male,NH,Head On Collision 
421,April,12-Apr-22,Tuesday,12-Apr-22,Mohammadpur,Nil,Uttar Pradesh,"26.941368180703638, 81.17162240541494",Van,Truck,3,0,"32,15,14",Male,OR,With Parked Vehicle
422,April,11-Apr-22,Monday,12-Apr-22,Kshipra Bypass Road,Nil,Madhya Pradesh,"22.902650161552707, 75.97796428673341",Two Wheeler,Truck,1,2,34,Female,NH,Others
423,April,11-Apr-22,Monday,12-Apr-22,Makkuva,Nil,Andhra Pradesh,"18.65945991780443, 83.26866378153295",Two Wheeler,Nil,1,1,21,Male,SH,Run Off Road
424,April,11-Apr-22,Monday,13-Apr-22,Ukkadam,Coimbatore,Tamil Nadu,"10.994733560179242, 76.96875643801445",Car,Divider,1,3,21,Male,OR,Fixed Object Collision
425,April,12-Apr-22,Tuesday,13-Apr-22,Kushalgarh,Nil,Rajasthan,"23.19544452061331, 74.44391666904448",Bus,Tractor,3,20,"42,24",Male,SH,Head On Collision 
426,April,12-Apr-22,Tuesday,13-Apr-22,Garabandha,Nil,Odisha,"18.831068124242655, 84.27174561000847",Two Wheeler,Two Wheeler,2,2,"36,40",Male,SH,Head On Collision 
427,April,11-Apr-22,Monday,13-Apr-22,Chengalpet,Nil,Tamil Nadu,"12.676546999838553, 79.99978433372533",Lorry,Truck,3,0,NA,Male,SH,Head On Collision 
428,April,12-Apr-22,Tuesday,13-Apr-22,Tibniyar,Nil,Rajasthan,"26.030203017950896, 70.91346201393944",SUV,Nil,2,10,"22,45",Female,OR,Vehicle Overturn
429,April,12-Apr-22,Tuesday,13-Apr-22,Malumichampatti,Nil,Tamil Nadu,"10.905377377294188, 76.9971740559451",Ambulance,Nil,2,2,"1,30",Male,NH,Vehicle Overturn
430,April,13-Apr-22,Wednesday,14-Apr-22,Aimata Temple,Hyderabad,Telangana,"17.408324254611227, 78.65562326919091",Two Wheeler,Truck,2,0,"24,34",Male,OR,Hit From Back
431,April,13-Apr-22,Wednesday,14-Apr-22,Nai ,Jaipur,Rajasthan,"26.916443718042647, 75.86306769223953",SUV,Gorge,5,13,NA,NA,OR,Vehicle Overturn
432,April,13-Apr-22,Wednesday,14-Apr-22,Kapahbari,Nil,Assam,"26.029810713639982, 92.93018884603839",SUV,Railing,5,5,NA,NA,OR,Fixed Object Collision
433,April,12-Apr-22,Tuesday,14-Apr-22,Ashta,Nil,Madhya Pradesh,"23.01785728193693, 76.72633917479718",Car,Lorry,2,1,"40,14",Male,SH,Hit From Back
434,April,12-Apr-22,Tuesday,14-Apr-22,Bihari,Nil,Uttar Pradesh,"26.359916220415354, 79.8593936761911",Pick Up,Truck,4,4,"40,30,50,42",Male,NH,Hit From Back
435,April,15-Apr-22,Friday,15-Apr-22,Sankarapuram,Nil,Tamil Nadu,"11.797728841314983, 79.20314770572611",Pedestrian,SUV,2,4,"11,55",Both,OR,Hit and Run
436,April,15-Apr-22,Friday,15-Apr-22,MBS Hospital,Kota,Rajasthan,"25.19828882143047, 75.858251500867",Pedestrian,Car,1,2,45,Male,OR,Hit and Run
437,April,15-Apr-22,Friday,15-Apr-22,Bhawi,Nil,Rajasthan,"26.227105879573745, 73.6201015735607",Car,Truck,6,3,"19,20,30,40,19,6",Both,NH,Hit From Back
438,April,13-Apr-22,Wednesday,15-Apr-22,Kalanagar Flyover,Mumbai,Maharashtra,"19.054881955818306, 72.84647030885186",Two Wheeler,Two Wheeler,2,1,"22,21",Male,OR,Hit From Back
439,April,15-Apr-22,Friday,16-Apr-22,Ramwasa,Nil,Madhya Pradesh,"23.067434634722236, 75.82225197023755",Car,Nil,1,4,55,Male,SH,Run Off Road
440,April,14-Apr-22,Thursday,16-Apr-22,Shashtrinagar,Chandigarh,Chandigarh,"30.71986900643926, 76.82354771827367",Two Wheeler,Pole,1,0,19,Male,OR,Fixed Object Collision
441,April,14-Apr-22,Thursday,16-Apr-22,EWS Flats Dhanas,Chandigarh,Chandigarh,"30.73480019932561, 76.75148064797337",Pedestrian,Two Wheeler,1,0,30,Female,NH,Hit and Run
442,April,16-Apr-22,Saturday,17-Apr-22,Girad ,Nil,Himachal Pradesh,"32.53057554629484, 76.38425810709141",Car,River,3,0,NA,NA,OR,Vehicle Overturn
443,April,17-Apr-22,Sunday,17-Apr-22,Biswanath,Nil,Assam,"26.740171597463235, 93.13518556287205",SUV,Nil,5,7,"17,15,15,14,14",Both,NH,Run Off Road
444,April,16-Apr-22,Saturday,17-Apr-22,Kasarkheda,Nil,Maharashtra,"19.2544764448886, 77.2750422220933",Tractor,Nil,1,4,2,Male,OR,Run Off Road
445,April,15-Apr-22,Friday,17-Apr-22,Patrakar Colony ,Vadodara,Gujarat,"22.28880880427284, 73.155765072573",Pedestrian,Car,1,0,NA,Male,OR,Hit and Run
446,April,15-Apr-22,Friday,17-Apr-22,Shajapur,Nil,Madhya Pradesh,"23.41738772247104, 76.27213749049376",Car,Unidentified,1,1,35,Female,SH,Hit and Run
447,April,17-Apr-22,Sunday,18-Apr-22,Kala Academy ,Nil,Goa,"15.494171090497959, 73.81834972748148",Two Wheeler,SUV,1,0,69,Male,OR,Head On Collision 
448,April,17-Apr-22,Sunday,18-Apr-22,PMT Bus Depot,Pune,Maharashtra,"18.501875704897813, 73.93945146677993",Pedestrian,Truck,1,0,19,Male,OR,Hit and Run
449,April,15-Apr-22,Friday,18-Apr-22,Sharmik Nagar,Nashik,Maharashtra,"19.99584045699654, 73.71046632576827",Two Wheeler,Unidentified,1,0,37,Male,OR,Hit and Run
450,April,16-Apr-22,Saturday,18-Apr-22,Khara Mukh,Nil,Himachal Pradesh,"32.46665742303505, 76.44948547422419",Car,Gorge,3,0,NA,NA,NH,Run Off Road
451,April,17-Apr-22,Sunday,18-Apr-22,Uttar KariBil,Nil,Assam,"26.9144246821791, 93.4384607461288",Van,Gorge,5,0,NA,Both,OR,Run Off Road
452,April,17-Apr-22,Sunday,18-Apr-22,Haja,Nil,Uttarakhand,"30.70088486737961, 77.82058594642874",Car,Gorge,4,1,"28,28,25,25",Male,OR,Run Off Road
453,April,16-Apr-22,Saturday,19-Apr-22,Materwadi,Nil,Maharashtra,"18.53890188950243, 73.68393535995644",Two Wheeler,Pole,2,0,"21,22",Male,OR,Fixed Object Collision
454,April,19-Apr-22,Tuesday,19-Apr-22,Leela ki dhani,Nil,Rajasthan,"27.894518754260805, 75.5195796533422",Car,Tractor,11,7,"50,45,16,16,50,45,35,35,20,20,15",Both,SH,With Parked Vehicle
455,April,17-Apr-22,Sunday,19-Apr-22,Raha,Nil,Uttar Pradesh,"26.172500703315002, 80.12020879743844",Van,Truck,6,11,NA,Both,OR,Head On Collision 
456,April,18-Apr-22,Monday,19-Apr-22,Mehlan Junction Sangrur,Nil,Punjab,"30.159175616700445, 75.89198824181408",Pedestrian,Bus,1,3,12,Female,SH,Hit and Run
457,April,18-Apr-22,Monday,20-Apr-22,Kallahally,Nil,Karnataka,"13.1090918133165, 77.78941921897804",Car,Tree,6,0,NA,Male,OR,Fixed Object Collision
458,April,18-Apr-22,Monday,20-Apr-22,Amroli,Surat,Gujarat,"21.241376697864432, 72.85236566026549",Two Wheeler,Truck,2,0,"56,55",Both,OR,Others
459,April,18-Apr-22,Monday,20-Apr-22,Gunga,Nil,Madhya Pradesh,"23.44757243471522, 77.36436802486355",Two Wheeler,Bus,1,0,50,Male,OR,Others
460,April,19-Apr-22,Tuesday,20-Apr-22,Begur,Bengaluru,Karnataka,"12.889272287739498, 77.62569230321775",Two Wheeler,Car,1,0,30,Male,NH,Head On Collision 
461,April,18-Apr-22,Monday,20-Apr-22,Bambora,Nil,Rajasthan,"27.799356605493642, 76.73894056278301",Two Wheeler,Car,4,0,NA,Both,SH,Others
462,April,18-Apr-22,Monday,20-Apr-22,Barmer,Nil,Rajasthan,"25.770276918729678, 71.42749308706475",Two Wheeler,Car,1,3,NA,Male,NH,Others
463,April,21-Apr-22,Thursday,21-Apr-22,Angralla,Nil,Jammu,"33.36989542597566, 74.87960210454254",Car,Gorge,3,6,"35,45,35",Male,OR,Vehicle Overturn
464,April,21-Apr-22,Thursday,21-Apr-22,Derasar,Nil,Rajasthan,"25.79831184514784, 71.16921130348882",Pedestrian,Pick Up,1,1,NA,Male,OR,Head On Collision 
465,April,20-Apr-22,Wednesday,21-Apr-22,Hunsur,Nil,Karnataka,"12.29501625188559, 76.28993924551796",SUV,Tree,6,3,"47,44,42,33,47,42",Male,SH,Fixed Object Collision
466,April,21-Apr-22,Thursday,22-Apr-22,Panjrapole Intersection,Ahmedabad,Gujarat,"23.027061511160188, 72.544926989018",Two Wheeler,Truck,1,1,6,Male,OR,Others
467,April,20-Apr-22,Wednesday,22-Apr-22,Desuri,Nil,Rajasthan,"25.274202246112697, 73.57923514893909",Bus,Nil,3,69,"22,55",Male,SH,Fixed Object Collision
468,April,21-Apr-22,Thursday,23-Apr-22,Murgia Chak,Nil,Bihar,"25.83487828621875, 85.33500360056412",Pedestrian,SUV,1,0,10,Male,OR,Hit and Run
469,April,21-Apr-22,Thursday,23-Apr-22,Mohanpur,Nil,Bihar,"25.8388962736232, 85.76681502036023",Two Wheeler,Truck,2,0,35,Male,SH,Others
470,April,22-Apr-22,Friday,23-Apr-22,Medhakwas,Nil,Madhya Pradesh,"22.962557046705843, 75.52744832280665",Two Wheeler,Truck,1,0,50,Male,OR,Hit From Back
471,April,22-Apr-22,Friday,23-Apr-22,Singarpur,Nil,Chhattisgarh,"21.826943117026335, 82.0084168860238",Car,Bridge,5,0,"60,58",Both,OR,Fixed Object Collision
472,April,23-Apr-22,Saturday,24-Apr-22,Saygaon,Nil,Maharashtra,"18.63941091769798, 76.76402564055542",SUV,Truck,7,0,"38,35,38,35,37,34,10",Both,OR,Head On Collision 
473,April,21-Apr-22,Thursday,24-Apr-22,Aadhar Teerth,Nil,Maharashtra,"19.951734479385077, 73.56741328905738",Two Wheeler,Car,1,0,65,Male,NH,Hit From Back
474,April,22-Apr-22,Friday,24-Apr-22,Laxmipur,Nil,Bihar,"25.046374876476605, 86.93369751859285",Car,SUV,3,1,"24,23,24",Male,OR,Head On Collision 
475,April,22-Apr-22,Friday,24-Apr-22,Bara Railway Crossing,Nil,Bihar,"24.889629573670987, 86.61099563394598",Two Wheeler,Pick Up,3,0,18,Male,OR,Others
476,April,22-Apr-22,Friday,24-Apr-22,Sadalpur Junction,Nil,Madhya Pradesh,"22.73837868031073, 75.41630565076322",Two Wheeler,Unidentified,1,1,NA,Male,NH,Hit and Run
477,April,22-Apr-22,Friday,25-Apr-22,Dindori Road,Nashik,Maharashtra,"20.04593894486277, 73.80579635852874",Two Wheeler,Car,1,1,42,Male,SH,Hit From Back
478,April,23-Apr-22,Saturday,25-Apr-22,Pathardi Junction,Nashik,Maharashtra,"19.962364499644735, 73.77830912895728",Two Wheeler,Two Wheeler,1,0,29,Male,OR,Others
479,April,24-Apr-22,Sunday,25-Apr-22,Peddakalvala,Nil,Telangana,"18.578989016195717, 79.36551061472527",SUV,Truck,3,4,"43,22,21",Both,SH,With Parked Vehicle
480,April,25-Apr-22,Monday,26-Apr-22,Makroniya,Nil,Madhya Pradesh,"23.85444928204001, 78.79416489774007",Two Wheeler,Car,1,1,15,Male,SH,Hit From Back
481,April,25-Apr-22,Monday,26-Apr-22,Srikalahasti,Nil,Andhra Pradesh,"13.750992856158822, 79.6934139700201",Van,Truck,4,8,"70,60",Both,NH,Head On Collision 
482,April,25-Apr-22,Monday,27-Apr-22,Bridge Darna River,Nil,Maharashtra,"19.953154908495364, 73.8929701909034",Pedestrian,Car,1,0,13,Female,OR,Hit and Run
483,April,25-Apr-22,Monday,27-Apr-22,Pathardi Road,Nashik,Maharashtra,"19.963055553975718, 73.7787320913185",Two Wheeler,Nil,1,0,54,Male,OR,Run Off Road
484,April,24-Apr-22,Sunday,27-Apr-22,Pimpri,Nil,Maharashtra,"20.042239217323, 73.92583785052105",Two Wheeler,Truck,1,2,10,Male,OR,Others
485,April,25-Apr-22,Monday,27-Apr-22,Dundur,Nil,Karnataka,"15.439879492250759, 75.31420272936964",Two Wheeler,Unidentified,2,0,"23,43",Both,OR,Hit and Run
486,April,25-Apr-22,Monday,27-Apr-22,Panagar,Nil,Madhya Pradesh,"23.28543455286936, 79.99283903508297",Two Wheeler,Car,3,0,"36,40,18",Both,OR,Others
487,April,25-Apr-22,Monday,27-Apr-22,Jhammat Bridge,Nil,Punjab,"30.700775777548813, 75.87145147031943",SUV,Canal,5,1,"42,45,52,49,25",Male,SH,Vehicle Overturn
488,April,27-Apr-22,Wednesday,28-Apr-22,Nasirpura,Nil,Uttar Pradesh,"29.96850796266665, 77.41054641219449",Car,Nil,3,6,"23,18,6",Both,OR,Run Off Road
489,April,28-Apr-22,Thursday,28-Apr-22,Padmavati Junction,Pune,Maharashtra,"18.47447111558917, 73.85625672943155",Two Wheeler,Bus,1,5,52,Male,NH,Others
490,April,27-Apr-22,Wednesday,28-Apr-22,Shuklampura,Nil,Uttar Pradesh,"28.81983719440365, 77.95134545025617",Two Wheeler,Pick Up,3,0,NA,Male,OR,Head On Collision 
491,April,27-Apr-22,Wednesday,29-Apr-22,Bodhale Junction,Nashik,Maharashtra,"19.979574740467225, 73.80746902150943",Pedestrian,Truck,1,0,89,Female,OR,Hit and Run
492,April,25-Apr-22,Monday,29-Apr-22,Shivaji Nagar,Nashik,Maharashtra,"20.01247947962857, 73.70822613430512",Two Wheeler,Two Wheeler,1,1,67,Female,OR,Others
493,April,28-Apr-22,Thursday,29-Apr-22,Rajiv Rahadari,Nil,Telangana,"18.167944800968232, 78.98399312247022",Car,Divider,2,0,"42,40",Both,SH,Fixed Object Collision
494,April,29-Apr-22,Friday,30-Apr-22,Thol,Nil,Haryana,"30.16966929895964, 76.7142578185512",Two Wheeler,SUV,1,1,34,Male,SH,Head On Collision 
495,April,28-Apr-22,Thursday,30-Apr-22,Sevaniya,Nil,Gujarat,"22.591463037301, 74.00111840706462",Two Wheeler,SUV,2,0,NA,Male,OR,Head On Collision 
496,April,28-Apr-22,Thursday,30-Apr-22,Chakeri,Nil,Uttar Pradesh,"27.87732506064252, 78.59079201357487",Two Wheeler,Truck,2,0,"20,21",Male,OR,Head On Collision 
497,April,29-Apr-22,Friday,30-Apr-22,Ranebennur,Nil,Karnataka,"14.605618858349239, 75.646646142623",Car,Car,4,4,"38,36,40,25",Male,SH,Head On Collision 
498,April,27-Apr-22,Wednesday,30-Apr-22,Dukkar Khind,Pune,Maharashtra,"18.502828146187575, 73.79273536008648",Two Wheeler,Unidentified,1,0,30,Female,OR,Others
499,May,1-May-22,Sunday,1-May-22,Kawarsi,Nil,Uttar Pradesh,"28.212999609199144, 77.78246750806592",Pedestrian,Truck,3,4,"42,40,34",Both,OR,Hit and Run
500,May,29-Apr-22,Friday,1-May-22,Kapariwas Chowk,Nil,Haryana,"28.240730315261757, 76.81172053351116",Two Wheeler,Bus,1,0,32,Male,NH,Head On Collision 
501,May,30-Apr-22,Saturday,1-May-22,KVSR College,Nil,Andhra Pradesh,"15.73886532453066, 78.00883490269743",Two Wheeler,Truck,1,0,58,Male,NH,Others
502,May,28-Apr-22,Thursday,1-May-22,Surdhara Circle,Ahmedabad,Gujarat,"23.052824845247688, 72.52592699336206",Pedestrian,Car,1,0,70,Male,OR,Hit and Run
503,May,1-May-22,Sunday,2-May-22,Hindoli,Nil,Rajasthan,"25.572132505563157, 75.49769646588867",Two Wheeler,Car,3,0,"25,17,20",Male,NH,Head On Collision 
504,May,1-May-22,Sunday,2-May-22,Vikas Marg,Delhi,Delhi,"28.630679383164843, 77.27750440437758",Two Wheeler,Car,3,3,"19,17,30",Both,OR,Hit From Side
505,May,1-May-22,Sunday,2-May-22,Station Road,Nil,Haryana,"30.159518315996593, 76.86745988134582",Two Wheeler,Truck,4,0,"5,32,30,20",Both,OR,Others
506,May,2-May-22,Monday,2-May-22,Kasbapar,Nil,Gujarat,"20.972379664461112, 72.94042110106639",Car,Truck,5,0,NA,NA,SH,Hit From Side
507,May,1-May-22,Sunday,2-May-22,Aganampudi Junction,Vizag,Andhra Pradesh,"17.6896933088262, 83.13800493452116",Two Wheeler,Lorry,2,0,42,Both,SH,Others
508,May,30-Apr-22,Saturday,2-May-22,Beta 2,Nil,Uttar Pradesh,"28.48095602504437, 77.5152199389311",Pedestrian,Car,1,4,23,Male,OR,Hit and Run
509,May,30-Apr-22,Saturday,2-May-22,Chuhurpur Underpass,Nil,Uttar Pradesh,"28.42761857627242, 77.5108676583755",Pedestrian,Truck,2,0,NA,Male,NH,Hit and Run
510,May,1-May-22,Sunday,3-May-22,Navelim,Nil,Goa,"15.25354820713187, 73.96832229254049",Two Wheeler,Truck,2,0,"24,52",Male,NH,Hit From Back
511,May,1-May-22,Sunday,3-May-22,West Phaileng,Nil,Mizoram,"23.70037319819732, 92.48449376088739",Truck,Gorge,3,0,"50,26,21",Male,OR,Vehicle Overturn
512,May,1-May-22,Sunday,3-May-22,Rajarhat Expressway,Kolkata,West Bengal,"22.63282196747591, 88.47722056198232",Two Wheeler,Divider,1,0,27,Male,SH,Fixed Object Collision
513,May,2-May-22,Monday,3-May-22,Leelma,Nil,Rajasthan,"25.74342634347203, 70.64229202677052",Van,Nil,1,10,20,Male,OR,Run Off Road
