Incident_ID,State,District,Incident_Date,Pollution_Type,Pollution_Level_PPM,Trees_Destroyed,Area_Affected_Ha,Cause,Recovery_Status,Damage_Estimate_INR,Wildlife_Affected,River_or_Lake_Polluted,Govt_Response_Time_Days,NGOs_Involved,Rainfall_mm,Soil_Erosion_Level,Air_Quality_Index,Water_pH_Level,Green_Cover_Loss_Percent,Industrial_Area_Nearby,Is_Protected_Area
602,Gujarat,District_20,2016-12-25,Water,350.9,280,23.93,Deforestation,Unrecovered,3444681,172,No,11,6,139.3,3.23,227,7.03,26.4,No,Yes
603,Gujarat,District_20,2023-08-03,Water,350.9,268,18.94,Urban Expansion,Recovered,4656989,281,No,152,4,139.3,3.23,144,7.03,26.4,No,No
604,Tamil Nadu,District_10,2014-10-25,Air,350.9,308,81.22,Industrial Waste,Partially Recovered,87185,69,Yes,164,9,139.3,3.23,102,7.03,26.4,Yes,No
605,Bihar,District_11,2013-11-14,Soil,350.9,424,14.37,Deforestation,Partially Recovered,1463672,5,Yes,126,9,139.3,3.23,353,7.03,26.4,No,Yes
606,Punjab,District_9,2016-09-17,Air,350.9,207,47.4,Deforestation,Partially Recovered,1314862,283,Yes,97,4,139.3,3.23,119,7.03,26.4,Yes,No
607,Kerala,District_9,2018-07-13,Soil,350.9,332,93.92,Urban Expansion,Partially Recovered,722515,194,No,53,3,139.3,3.23,225,7.03,26.4,No,No
608,Odisha,District_5,2013-05-21,Water,350.9,65,19.4,Deforestation,Recovered,388337,12,Yes,83,9,139.3,3.23,181,7.03,26.4,Yes,No
609,Gujarat,District_1,2022-10-11,Mixed,350.9,328,97.82,Agricultural Runoff,Recovered,1670626,62,Yes,47,5,139.3,3.23,388,7.03,26.4,Yes,No
610,Odisha,District_17,2013-01-01,Soil,350.9,212,99.43,Industrial Waste,Recovered,116745,12,Yes,52,6,139.3,3.23,387,7.03,26.4,No,Yes
611,Karnataka,District_2,2020-10-09,Water,350.9,280,56.01,Agricultural Runoff,Partially Recovered,4799448,248,No,57,6,139.3,3.23,380,7.03,26.4,No,No
612,Odisha,District_13,2011-12-17,Water,350.9,118,17.84,Illegal Dumping,Unrecovered,2408507,204,Yes,75,7,139.3,3.23,262,7.03,26.4,Yes,No
613,Kerala,District_9,2017-04-23,Soil,350.9,125,32.29,Industrial Waste,Partially Recovered,1406189,252,Yes,151,4,139.3,3.23,260,7.03,26.4,Yes,Yes
614,West Bengal,District_4,2015-06-13,Mixed,350.9,101,43.02,Illegal Dumping,Unrecovered,1923938,39,No,59,6,139.3,3.23,394,7.03,26.4,Yes,Yes
615,Kerala,District_5,2019-08-24,Water,350.9,147,31.62,Deforestation,Recovered,3916344,164,Yes,69,3,139.3,3.23,113,7.03,26.4,Yes,No
616,Odisha,District_11,2011-09-29,Soil,350.9,431,28.78,Urban Expansion,Partially Recovered,2410713,30,Yes,86,8,139.3,3.23,84,7.03,26.4,Yes,No
617,Kerala,District_19,2015-07-22,Mixed,350.9,312,97.25,Agricultural Runoff,Partially Recovered,4174905,16,Yes,170,4,139.3,3.23,61,7.03,26.4,No,No
618,Uttar Pradesh,District_3,2013-12-23,Mixed,350.9,66,16.18,Illegal Dumping,Recovered,958941,136,No,146,2,139.3,3.23,395,7.03,26.4,Yes,No
619,Karnataka,District_12,2020-03-07,Water,350.9,59,73.6,Deforestation,Partially Recovered,816951,164,Yes,71,4,139.3,3.23,360,7.03,26.4,No,No
620,Punjab,District_19,2017-08-27,Air,350.9,80,1.04,Agricultural Runoff,Unrecovered,2901567,280,Yes,33,8,139.3,3.23,297,7.03,26.4,No,No
621,West Bengal,District_19,2019-05-13,Air,350.9,408,60.02,Agricultural Runoff,Unrecovered,2899219,222,Yes,3,7,139.3,3.23,161,7.03,26.4,No,No
622,Gujarat,District_13,2021-07-11,Water,350.9,411,91.68,Illegal Dumping,Unrecovered,2995957,121,Yes,28,0,139.3,3.23,374,7.03,26.4,No,Yes
623,Maharashtra,District_7,2016-03-21,Mixed,350.9,91,29.51,Deforestation,Partially Recovered,4576331,77,Yes,1,4,139.3,3.23,140,7.03,26.4,Yes,Yes
624,Punjab,District_15,2021-10-18,Water,350.9,381,19.37,Urban Expansion,Partially Recovered,258945,87,Yes,126,5,139.3,3.23,343,7.03,26.4,No,No
625,Maharashtra,District_7,2019-04-22,Soil,350.9,114,65.52,Illegal Dumping,Unrecovered,2182127,112,Yes,113,9,139.3,3.23,78,7.03,26.4,No,No
626,Karnataka,District_8,2015-01-09,Air,350.9,97,71.55,Agricultural Runoff,Partially Recovered,4264970,99,No,47,1,139.3,3.23,61,7.03,26.4,No,No
627,West Bengal,District_5,2012-07-21,Soil,350.9,11,69.12,Agricultural Runoff,Unrecovered,1376725,238,No,37,5,139.3,3.23,196,7.03,26.4,Yes,No
628,Tamil Nadu,District_14,2018-01-17,Water,350.9,369,32.61,Industrial Waste,Recovered,4346779,110,No,86,8,139.3,3.23,186,7.03,26.4,No,No
629,Gujarat,District_4,2021-03-01,Water,350.9,93,25.97,Deforestation,Unrecovered,4789069,89,Yes,48,3,139.3,3.23,387,7.03,26.4,No,No
630,Uttar Pradesh,District_10,2016-09-27,Mixed,350.9,491,95.64,Industrial Waste,Recovered,896837,138,No,108,2,139.3,3.23,206,7.03,26.4,No,Yes
631,Tamil Nadu,District_20,2012-01-25,Mixed,350.9,52,92.41,Urban Expansion,Recovered,1564777,134,Yes,19,8,139.3,3.23,308,7.03,26.4,Yes,Yes
632,Karnataka,District_15,2015-06-23,Mixed,350.9,163,46.27,Illegal Dumping,Recovered,1647899,11,Yes,142,1,139.3,3.23,136,7.03,26.4,Yes,No
633,Punjab,District_18,2023-05-18,Soil,350.9,336,84.77,Agricultural Runoff,Unrecovered,4690009,243,Yes,83,8,139.3,3.23,207,7.03,26.4,Yes,No
634,Uttar Pradesh,District_20,2015-11-17,Mixed,350.9,431,45.78,Deforestation,Unrecovered,3599555,181,No,65,9,139.3,3.23,235,7.03,26.4,No,No
635,Kerala,District_13,2017-03-12,Water,350.9,103,43.01,Agricultural Runoff,Partially Recovered,4523256,194,No,26,1,139.3,3.23,393,7.03,26.4,Yes,Yes
636,Odisha,District_8,2012-10-23,Mixed,350.9,307,16.52,Industrial Waste,Partially Recovered,3081708,121,Yes,138,9,139.3,3.23,358,7.03,26.4,Yes,Yes
637,Uttar Pradesh,District_9,2014-12-24,Air,350.9,142,43.21,Industrial Waste,Recovered,2230883,52,Yes,99,2,139.3,3.23,278,7.03,26.4,Yes,Yes
638,Karnataka,District_16,2012-12-20,Mixed,350.9,404,54.2,Illegal Dumping,Unrecovered,364000,172,No,77,6,139.3,3.23,53,7.03,26.4,No,No
639,Bihar,District_19,2018-10-06,Soil,350.9,74,3.23,Deforestation,Partially Recovered,2150050,178,No,70,1,139.3,3.23,106,7.03,26.4,Yes,Yes
640,Odisha,District_16,2017-08-17,Air,350.9,299,44.97,Deforestation,Partially Recovered,3835040,292,No,43,0,139.3,3.23,77,7.03,26.4,No,No
641,Maharashtra,District_7,2010-08-09,Air,350.9,385,78.35,Illegal Dumping,Partially Recovered,3238518,58,No,70,8,139.3,3.23,65,7.03,26.4,No,No
642,Gujarat,District_14,2022-07-31,Air,350.9,266,68.32,Industrial Waste,Unrecovered,3562704,53,No,59,5,139.3,3.23,62,7.03,26.4,No,No
643,Maharashtra,District_14,2020-04-06,Soil,350.9,476,63.88,Industrial Waste,Partially Recovered,3426698,256,No,3,8,139.3,3.23,249,7.03,26.4,No,No
644,Uttar Pradesh,District_4,2021-01-19,Water,350.9,395,91.05,Industrial Waste,Recovered,1531267,244,No,133,2,139.3,3.23,233,7.03,26.4,Yes,Yes
645,Maharashtra,District_15,2013-01-07,Mixed,350.9,222,2.79,Agricultural Runoff,Unrecovered,371116,148,Yes,85,2,139.3,3.23,358,7.03,26.4,Yes,No
646,Karnataka,District_3,2018-02-25,Air,350.9,157,56.15,Urban Expansion,Partially Recovered,4025373,283,Yes,95,9,139.3,3.23,353,7.03,26.4,No,No
647,Kerala,District_5,2015-05-23,Air,350.9,70,78.95,Industrial Waste,Partially Recovered,461420,15,No,78,2,139.3,3.23,330,7.03,26.4,No,Yes
648,Punjab,District_1,2014-05-04,Air,350.9,480,54.59,Urban Expansion,Unrecovered,2509041,175,No,101,1,139.3,3.23,371,7.03,26.4,No,No
649,Gujarat,District_3,2016-12-02,Water,350.9,158,33.07,Urban Expansion,Partially Recovered,832590,27,Yes,83,5,139.3,3.23,207,7.03,26.4,No,No
650,Maharashtra,District_15,2021-11-11,Water,350.9,97,14.49,Deforestation,Partially Recovered,478205,128,No,165,2,139.3,3.23,308,7.03,26.4,Yes,No
651,Maharashtra,District_8,2020-07-13,Soil,350.9,333,88.87,Illegal Dumping,Recovered,1183788,222,Yes,84,4,139.3,3.23,206,7.03,26.4,Yes,Yes
652,Uttar Pradesh,District_4,2012-07-03,Water,350.9,392,47.61,Agricultural Runoff,Unrecovered,4875060,243,Yes,121,4,139.3,3.23,143,7.03,26.4,No,No
653,Punjab,District_2,2010-02-11,Mixed,350.9,405,87.93,Urban Expansion,Partially Recovered,1050486,237,No,135,9,139.3,3.23,316,7.03,26.4,Yes,No
654,Tamil Nadu,District_10,2013-03-15,Soil,350.9,287,59.0,Agricultural Runoff,Unrecovered,1146045,231,Yes,53,2,139.3,3.23,70,7.03,26.4,Yes,Yes
655,Maharashtra,District_4,2015-05-16,Soil,350.9,413,67.75,Deforestation,Unrecovered,3734055,91,No,114,2,139.3,3.23,176,7.03,26.4,Yes,No
656,Karnataka,District_3,2012-01-30,Mixed,350.9,91,80.62,Industrial Waste,Recovered,3906973,2,No,6,0,139.3,3.23,396,7.03,26.4,Yes,No
657,Bihar,District_2,2023-08-11,Mixed,350.9,138,66.26,Urban Expansion,Recovered,369140,80,Yes,135,5,139.3,3.23,399,7.03,26.4,No,No
658,Gujarat,District_17,2019-04-28,Mixed,350.9,295,40.41,Illegal Dumping,Unrecovered,2134420,43,Yes,172,2,139.3,3.23,161,7.03,26.4,Yes,No
659,Maharashtra,District_20,2013-04-01,Soil,350.9,391,51.85,Deforestation,Recovered,3964228,154,Yes,18,0,139.3,3.23,283,7.03,26.4,No,Yes
660,Karnataka,District_13,2020-06-01,Soil,350.9,362,80.5,Agricultural Runoff,Recovered,2493057,23,No,54,9,139.3,3.23,83,7.03,26.4,Yes,Yes
661,Karnataka,District_5,2010-11-29,Soil,350.9,289,37.99,Industrial Waste,Partially Recovered,812717,98,No,127,8,139.3,3.23,129,7.03,26.4,Yes,No
662,Gujarat,District_9,2014-11-17,Mixed,350.9,279,39.42,Agricultural Runoff,Recovered,3780555,170,No,157,0,139.3,3.23,132,7.03,26.4,No,Yes
663,Tamil Nadu,District_6,2011-01-02,Mixed,350.9,301,10.47,Illegal Dumping,Recovered,227975,147,No,25,4,139.3,3.23,78,7.03,26.4,Yes,No
664,Karnataka,District_5,2018-06-21,Air,350.9,462,91.54,Urban Expansion,Partially Recovered,2628623,122,No,63,4,139.3,3.23,180,7.03,26.4,No,No
665,Bihar,District_10,2016-05-20,Water,350.9,212,10.01,Illegal Dumping,Partially Recovered,3586731,111,No,115,1,139.3,3.23,60,7.03,26.4,Yes,Yes
666,Karnataka,District_8,2021-05-28,Air,350.9,33,65.17,Agricultural Runoff,Unrecovered,1546793,129,No,141,0,139.3,3.23,111,7.03,26.4,No,No
667,Karnataka,District_7,2021-02-25,Mixed,350.9,453,41.91,Agricultural Runoff,Recovered,2650401,67,Yes,160,5,139.3,3.23,82,7.03,26.4,Yes,No
668,Karnataka,District_7,2010-10-31,Soil,350.9,360,41.16,Illegal Dumping,Partially Recovered,3436695,216,No,155,6,139.3,3.23,185,7.03,26.4,No,No
669,Kerala,District_6,2017-04-30,Mixed,350.9,320,68.28,Illegal Dumping,Recovered,2444705,95,Yes,51,8,139.3,3.23,137,7.03,26.4,Yes,No
670,Kerala,District_20,2016-09-07,Water,350.9,470,7.64,Illegal Dumping,Unrecovered,2211401,144,Yes,162,7,139.3,3.23,66,7.03,26.4,No,Yes
671,Tamil Nadu,District_3,2014-02-26,Air,350.9,217,59.78,Industrial Waste,Recovered,1084428,32,No,28,9,139.3,3.23,140,7.03,26.4,Yes,Yes
672,Maharashtra,District_19,2019-12-14,Air,350.9,289,77.43,Agricultural Runoff,Recovered,3687020,285,Yes,73,2,139.3,3.23,348,7.03,26.4,No,Yes
673,Karnataka,District_15,2015-04-20,Soil,350.9,214,82.99,Deforestation,Recovered,1557824,4,Yes,72,8,139.3,3.23,302,7.03,26.4,No,Yes
674,Punjab,District_4,2014-12-29,Air,350.9,161,17.88,Industrial Waste,Partially Recovered,3314623,117,Yes,85,0,139.3,3.23,122,7.03,26.4,Yes,Yes
675,Maharashtra,District_12,2016-05-06,Air,350.9,447,89.84,Industrial Waste,Partially Recovered,3996246,139,No,110,5,139.3,3.23,255,7.03,26.4,No,No
676,Tamil Nadu,District_6,2020-08-10,Mixed,350.9,35,65.96,Industrial Waste,Unrecovered,748592,229,Yes,30,9,139.3,3.23,310,7.03,26.4,No,Yes
677,West Bengal,District_19,2010-12-21,Air,350.9,203,88.3,Deforestation,Recovered,3599750,159,No,9,1,139.3,3.23,227,7.03,26.4,Yes,Yes
678,Maharashtra,District_4,2013-08-20,Air,350.9,345,49.04,Illegal Dumping,Unrecovered,564868,293,No,141,9,139.3,3.23,361,7.03,26.4,Yes,No
679,Maharashtra,District_15,2016-12-14,Air,350.9,431,54.66,Agricultural Runoff,Unrecovered,2745603,248,No,82,8,139.3,3.23,362,7.03,26.4,Yes,No
680,Odisha,District_9,2011-11-19,Soil,350.9,247,91.98,Urban Expansion,Partially Recovered,2188270,272,Yes,64,8,139.3,3.23,269,7.03,26.4,No,No
681,Uttar Pradesh,District_5,2019-04-25,Soil,350.9,330,90.09,Urban Expansion,Recovered,1609333,185,Yes,38,7,139.3,3.23,222,7.03,26.4,No,No
682,Odisha,District_13,2021-08-28,Mixed,350.9,84,45.37,Agricultural Runoff,Recovered,1910187,39,No,119,6,139.3,3.23,214,7.03,26.4,Yes,No
683,Bihar,District_18,2012-07-12,Air,350.9,444,28.17,Deforestation,Unrecovered,4752828,223,No,22,5,139.3,3.23,377,7.03,26.4,No,Yes
684,Kerala,District_5,2010-11-12,Soil,350.9,172,39.92,Urban Expansion,Recovered,4098342,151,No,159,1,139.3,3.23,384,7.03,26.4,Yes,Yes
685,Kerala,District_16,2011-10-06,Soil,350.9,308,39.39,Industrial Waste,Partially Recovered,1889415,139,Yes,99,3,139.3,3.23,269,7.03,26.4,No,Yes
686,Uttar Pradesh,District_19,2016-02-05,Mixed,350.9,38,29.4,Urban Expansion,Unrecovered,93299,127,Yes,170,9,139.3,3.23,341,7.03,26.4,Yes,No
687,Gujarat,District_14,2015-07-16,Water,350.9,174,27.59,Agricultural Runoff,Unrecovered,1927573,146,Yes,106,6,139.3,3.23,210,7.03,26.4,No,Yes
688,Gujarat,District_16,2015-04-12,Air,350.9,346,86.25,Industrial Waste,Partially Recovered,2800692,284,Yes,64,5,139.3,3.23,297,7.03,26.4,Yes,No
689,Tamil Nadu,District_15,2013-02-03,Soil,350.9,195,7.92,Urban Expansion,Partially Recovered,1718588,217,Yes,9,8,139.3,3.23,120,7.03,26.4,Yes,Yes
690,Uttar Pradesh,District_4,2019-10-17,Mixed,350.9,63,68.08,Agricultural Runoff,Partially Recovered,137845,219,Yes,126,4,139.3,3.23,141,7.03,26.4,Yes,No
691,Maharashtra,District_7,2021-06-15,Mixed,350.9,304,18.11,Deforestation,Partially Recovered,4118862,144,Yes,95,5,139.3,3.23,370,7.03,26.4,No,Yes
692,Gujarat,District_16,2022-01-17,Mixed,350.9,51,35.11,Agricultural Runoff,Partially Recovered,4912940,276,No,172,9,139.3,3.23,294,7.03,26.4,No,Yes
693,Karnataka,District_8,2021-08-22,Soil,350.9,421,7.09,Deforestation,Partially Recovered,1794164,241,Yes,168,5,139.3,3.23,73,7.03,26.4,No,No
694,Punjab,District_17,2017-04-30,Air,350.9,294,27.73,Industrial Waste,Unrecovered,2746492,59,No,88,7,139.3,3.23,94,7.03,26.4,Yes,No
695,Maharashtra,District_16,2011-06-08,Water,350.9,436,77.07,Agricultural Runoff,Recovered,1192303,97,Yes,169,7,139.3,3.23,238,7.03,26.4,No,No
696,Bihar,District_10,2015-01-25,Air,350.9,396,88.62,Illegal Dumping,Recovered,2558120,180,No,113,5,139.3,3.23,335,7.03,26.4,No,Yes
697,Karnataka,District_10,2015-09-09,Mixed,350.9,147,22.93,Illegal Dumping,Unrecovered,640025,113,Yes,72,7,139.3,3.23,370,7.03,26.4,Yes,No
698,Karnataka,District_2,2019-05-16,Mixed,350.9,196,46.89,Illegal Dumping,Recovered,3648562,102,Yes,50,6,139.3,3.23,390,7.03,26.4,Yes,No
699,Uttar Pradesh,District_9,2018-02-25,Water,350.9,499,47.56,Illegal Dumping,Recovered,3292072,56,Yes,148,0,139.3,3.23,132,7.03,26.4,Yes,No
700,Tamil Nadu,District_17,2014-02-08,Air,350.9,407,87.48,Illegal Dumping,Unrecovered,4073450,284,No,81,4,139.3,3.23,271,7.03,26.4,Yes,Yes
701,Bihar,District_11,2020-12-15,Mixed,350.9,213,76.52,Deforestation,Recovered,3776444,128,Yes,170,9,139.3,3.23,392,7.03,26.4,No,No
702,Gujarat,District_10,2021-10-04,Mixed,350.9,440,51.79,Agricultural Runoff,Recovered,309615,85,Yes,33,9,139.3,3.23,268,7.03,26.4,Yes,Yes
703,Uttar Pradesh,District_17,2015-11-27,Air,350.9,51,67.4,Industrial Waste,Unrecovered,3046171,199,No,63,9,139.3,3.23,267,7.03,26.4,No,Yes
704,Gujarat,District_4,2019-11-11,Mixed,350.9,359,84.89,Illegal Dumping,Recovered,3103337,70,Yes,105,4,139.3,3.23,239,7.03,26.4,Yes,Yes
705,Uttar Pradesh,District_16,2016-12-02,Air,350.9,425,1.94,Illegal Dumping,Partially Recovered,683346,97,Yes,99,9,139.3,3.23,116,7.03,26.4,No,No
706,Uttar Pradesh,District_20,2017-06-18,Mixed,350.9,297,40.89,Industrial Waste,Unrecovered,356768,299,No,6,8,139.3,3.23,80,7.03,26.4,Yes,Yes
707,Uttar Pradesh,District_15,2016-09-12,Air,350.9,435,90.82,Industrial Waste,Recovered,342744,175,Yes,135,6,139.3,3.23,371,7.03,26.4,Yes,No
708,Tamil Nadu,District_5,2012-03-27,Water,350.9,425,74.29,Illegal Dumping,Recovered,1957100,232,No,9,6,139.3,3.23,299,7.03,26.4,Yes,No
709,Uttar Pradesh,District_6,2011-05-18,Mixed,350.9,35,54.74,Deforestation,Partially Recovered,652624,74,No,101,9,139.3,3.23,103,7.03,26.4,Yes,No
710,West Bengal,District_17,2014-10-15,Water,350.9,380,53.43,Industrial Waste,Unrecovered,3664737,142,No,61,1,139.3,3.23,59,7.03,26.4,Yes,Yes
711,Punjab,District_1,2017-12-07,Mixed,350.9,394,35.43,Agricultural Runoff,Unrecovered,3298403,22,Yes,162,7,139.3,3.23,215,7.03,26.4,No,Yes
712,Gujarat,District_19,2023-07-10,Mixed,350.9,65,52.53,Agricultural Runoff,Recovered,1149304,180,Yes,163,2,139.3,3.23,388,7.03,26.4,No,Yes
713,Maharashtra,District_4,2015-10-31,Soil,350.9,262,65.88,Deforestation,Partially Recovered,2781314,44,No,99,8,139.3,3.23,334,7.03,26.4,No,No
714,Odisha,District_17,2012-01-12,Air,350.9,131,42.42,Urban Expansion,Partially Recovered,157483,91,No,148,5,139.3,3.23,202,7.03,26.4,No,No
715,Bihar,District_9,2011-05-05,Water,350.9,115,71.7,Deforestation,Partially Recovered,2167551,268,Yes,58,8,139.3,3.23,81,7.03,26.4,No,Yes
716,Kerala,District_2,2020-01-01,Water,350.9,139,86.26,Illegal Dumping,Partially Recovered,2333426,33,Yes,60,8,139.3,3.23,66,7.03,26.4,Yes,Yes
717,Tamil Nadu,District_8,2017-05-25,Water,350.9,346,16.31,Urban Expansion,Partially Recovered,1558303,165,Yes,35,6,139.3,3.23,350,7.03,26.4,Yes,No
718,Maharashtra,District_15,2010-07-23,Air,350.9,167,45.7,Illegal Dumping,Partially Recovered,4264996,69,No,47,9,139.3,3.23,354,7.03,26.4,No,No
719,Karnataka,District_7,2016-11-04,Soil,350.9,385,41.39,Agricultural Runoff,Unrecovered,1726706,195,Yes,46,7,139.3,3.23,392,7.03,26.4,No,No
720,West Bengal,District_6,2017-09-03,Water,350.9,240,69.06,Industrial Waste,Recovered,2013509,132,No,87,1,139.3,3.23,195,7.03,26.4,No,No
721,Kerala,District_1,2013-11-18,Air,350.9,464,25.74,Illegal Dumping,Recovered,4559349,246,No,4,4,139.3,3.23,124,7.03,26.4,No,Yes
722,Odisha,District_15,2020-06-16,Mixed,350.9,317,64.38,Agricultural Runoff,Partially Recovered,778693,167,Yes,10,2,139.3,3.23,173,7.03,26.4,No,Yes
723,Maharashtra,District_7,2017-07-01,Water,350.9,100,87.87,Deforestation,Unrecovered,4788188,276,Yes,107,0,139.3,3.23,101,7.03,26.4,Yes,No
724,Kerala,District_17,2014-01-17,Water,350.9,402,42.4,Illegal Dumping,Unrecovered,2177661,155,No,75,5,139.3,3.23,239,7.03,26.4,No,Yes
725,Maharashtra,District_2,2010-12-22,Soil,350.9,31,91.19,Agricultural Runoff,Partially Recovered,4214390,22,No,40,8,139.3,3.23,190,7.03,26.4,Yes,Yes
726,West Bengal,District_9,2012-07-26,Water,350.9,299,99.32,Industrial Waste,Recovered,2460350,199,Yes,127,1,139.3,3.23,137,7.03,26.4,No,No
727,Odisha,District_9,2016-11-16,Water,350.9,119,11.5,Illegal Dumping,Partially Recovered,3568795,274,No,119,8,139.3,3.23,133,7.03,26.4,Yes,No
728,Karnataka,District_13,2016-03-17,Mixed,350.9,58,24.07,Agricultural Runoff,Unrecovered,2933316,49,Yes,73,7,139.3,3.23,292,7.03,26.4,No,Yes
729,Uttar Pradesh,District_6,2016-03-30,Air,350.9,138,95.09,Illegal Dumping,Partially Recovered,4063915,185,Yes,40,8,139.3,3.23,155,7.03,26.4,No,No
730,Gujarat,District_6,2021-11-09,Air,350.9,82,95.87,Industrial Waste,Recovered,3412872,19,No,96,4,139.3,3.23,141,7.03,26.4,Yes,Yes
731,Karnataka,District_20,2012-02-10,Soil,350.9,349,10.67,Illegal Dumping,Recovered,2333714,115,No,23,1,139.3,3.23,70,7.03,26.4,Yes,No
732,Uttar Pradesh,District_20,2019-06-23,Mixed,350.9,62,2.48,Illegal Dumping,Unrecovered,809129,91,Yes,143,9,139.3,3.23,55,7.03,26.4,Yes,Yes
733,Tamil Nadu,District_3,2012-11-29,Air,350.9,476,16.95,Agricultural Runoff,Partially Recovered,495685,52,No,115,9,139.3,3.23,270,7.03,26.4,No,No
734,Punjab,District_17,2012-03-01,Mixed,350.9,365,99.61,Urban Expansion,Partially Recovered,3159607,122,No,116,5,139.3,3.23,358,7.03,26.4,No,Yes
735,Bihar,District_17,2012-12-22,Air,350.9,389,18.82,Illegal Dumping,Unrecovered,226769,264,Yes,133,6,139.3,3.23,136,7.03,26.4,No,No
736,Bihar,District_12,2020-09-06,Mixed,350.9,177,50.75,Urban Expansion,Partially Recovered,2781011,3,No,168,2,139.3,3.23,229,7.03,26.4,No,No
737,Gujarat,District_16,2018-07-30,Soil,350.9,54,84.99,Deforestation,Unrecovered,2850689,168,Yes,146,5,139.3,3.23,391,7.03,26.4,Yes,No
738,Odisha,District_15,2011-02-07,Water,350.9,461,3.02,Illegal Dumping,Partially Recovered,4091883,280,No,21,5,139.3,3.23,295,7.03,26.4,Yes,No
739,West Bengal,District_13,2012-07-20,Soil,350.9,402,60.84,Urban Expansion,Recovered,1920232,289,Yes,3,7,139.3,3.23,223,7.03,26.4,Yes,No
740,Odisha,District_1,2022-05-18,Air,350.9,114,28.43,Deforestation,Unrecovered,3531241,72,No,46,0,139.3,3.23,162,7.03,26.4,Yes,Yes
741,West Bengal,District_17,2016-06-10,Soil,350.9,159,86.37,Agricultural Runoff,Partially Recovered,1409726,136,No,90,3,139.3,3.23,120,7.03,26.4,Yes,Yes
742,Odisha,District_3,2010-12-06,Water,350.9,155,29.06,Illegal Dumping,Partially Recovered,833681,255,No,79,0,139.3,3.23,207,7.03,26.4,Yes,No
743,Punjab,District_15,2010-12-03,Soil,350.9,213,68.99,Agricultural Runoff,Partially Recovered,3123889,140,No,127,7,139.3,3.23,348,7.03,26.4,Yes,Yes
744,Tamil Nadu,District_4,2019-09-27,Air,350.9,371,67.75,Deforestation,Unrecovered,3388428,207,No,53,1,139.3,3.23,286,7.03,26.4,No,Yes
745,Tamil Nadu,District_4,2017-04-27,Air,350.9,308,22.93,Agricultural Runoff,Recovered,698484,259,No,148,7,139.3,3.23,236,7.03,26.4,No,No
746,Uttar Pradesh,District_18,2022-01-02,Soil,350.9,176,4.45,Agricultural Runoff,Partially Recovered,2778299,262,No,21,2,139.3,3.23,292,7.03,26.4,Yes,Yes
747,Kerala,District_17,2022-01-23,Water,350.9,210,41.52,Industrial Waste,Unrecovered,4552432,270,No,90,7,139.3,3.23,215,7.03,26.4,Yes,Yes
748,Tamil Nadu,District_19,2023-08-30,Soil,350.9,143,29.63,Deforestation,Partially Recovered,1062417,37,Yes,113,5,139.3,3.23,83,7.03,26.4,No,Yes
749,Tamil Nadu,District_11,2022-07-29,Water,350.9,220,81.09,Agricultural Runoff,Recovered,1365610,202,No,51,0,139.3,3.23,304,7.03,26.4,Yes,Yes
750,Karnataka,District_20,2011-09-18,Mixed,350.9,57,80.24,Urban Expansion,Recovered,1448447,223,No,153,6,139.3,3.23,351,7.03,26.4,No,No
751,Karnataka,District_3,2015-05-07,Water,350.9,135,46.25,Deforestation,Recovered,559690,51,No,68,6,139.3,3.23,269,7.03,26.4,No,Yes
752,Uttar Pradesh,District_8,2021-08-12,Mixed,350.9,248,61.04,Industrial Waste,Unrecovered,4578161,80,No,116,5,139.3,3.23,81,7.03,26.4,Yes,Yes
753,Kerala,District_14,2011-09-30,Soil,350.9,16,60.82,Illegal Dumping,Partially Recovered,1016095,210,No,138,0,139.3,3.23,306,7.03,26.4,No,Yes
754,Gujarat,District_1,2012-03-29,Water,350.9,473,82.89,Agricultural Runoff,Unrecovered,1780137,6,Yes,83,4,139.3,3.23,282,7.03,26.4,No,Yes
755,Karnataka,District_14,2016-08-10,Mixed,350.9,462,43.08,Urban Expansion,Partially Recovered,107807,44,Yes,95,0,139.3,3.23,264,7.03,26.4,No,No
756,Gujarat,District_2,2012-04-19,Mixed,350.9,281,28.27,Industrial Waste,Unrecovered,1545595,276,No,137,0,139.3,3.23,291,7.03,26.4,Yes,Yes
757,Maharashtra,District_4,2022-02-21,Mixed,350.9,394,27.24,Deforestation,Partially Recovered,679220,258,No,29,5,139.3,3.23,294,7.03,26.4,Yes,No
758,Karnataka,District_19,2022-04-28,Air,350.9,380,54.08,Agricultural Runoff,Unrecovered,624727,141,No,165,7,139.3,3.23,69,7.03,26.4,No,No
759,Punjab,District_6,2013-07-11,Soil,350.9,46,45.47,Industrial Waste,Partially Recovered,1327765,257,No,110,0,139.3,3.23,259,7.03,26.4,Yes,No
760,Kerala,District_1,2018-08-15,Mixed,350.9,496,44.57,Industrial Waste,Unrecovered,2444212,284,Yes,71,1,139.3,3.23,259,7.03,26.4,No,No
761,Uttar Pradesh,District_17,2020-07-07,Water,350.9,220,10.02,Urban Expansion,Recovered,4260739,36,No,38,4,139.3,3.23,121,7.03,26.4,No,No
762,Maharashtra,District_8,2018-05-15,Mixed,350.9,174,72.14,Illegal Dumping,Unrecovered,4152111,44,Yes,127,7,139.3,3.23,211,7.03,26.4,Yes,Yes
763,Kerala,District_19,2013-10-09,Air,350.9,134,22.16,Illegal Dumping,Recovered,4315188,119,No,72,3,139.3,3.23,227,7.03,26.4,No,Yes
